word,meaning,example
door,门；通道,Open the door.
dose,剂量；一剂,Take a dose.
dot,点；圆点,A dot on the map.
double,双倍的；两倍,Double the amount.
doubt,怀疑；疑问,I doubt it.
down,向下；往下,Go down.
download,下载,Download the file.
dozen,一打；十二个,A dozen eggs.
draft,草稿；草案,Write a draft.
drag,拖；拉,Drag the box.
drama,戏剧；剧本,Watch a drama.
dramatic,戏剧性的；引人注目的,A dramatic change.
draw,画；拉,Draw a picture.
drawer,抽屉；绘画者,Open the drawer.
drawing,图画；绘画,Beautiful drawing.
dream,梦；梦想,Dream big.
dress,连衣裙；穿衣,Wear a dress.
drill,钻头；训练,Use a drill.
drink,喝；饮料,Drink water.
drive,驾驶；开车,Drive carefully.
driver,司机；驾驶员,The bus driver.
drop,落下；滴,Drop the ball.
drought,干旱；旱灾,The drought is severe.
drown,淹死；淹没,Don't drown.
drug,药物；毒品,Take the drug.
drum,鼓；鼓声,Play the drum.
drunk,醉的；沉醉的,He is drunk.
dry,干的；弄干,Dry your hands.
duck,鸭子；躲避,The duck swims.
due,到期的；应得的,The payment is due.
dull,枯燥的；迟钝的,A dull lecture.
during,在...期间,During the meeting.
dusk,黄昏；薄暮,At dusk.
dust,灰尘；尘土,Wipe the dust.
duty,责任；义务,On duty.
dye,染料；染色,Dye the hair.
dying,垂死的；渴望的,A dying man.
dynamic,动态的；有活力的,A dynamic person.
each,每个；各自,Each student.
eager,渴望的；热切的,Eager to learn.
eagle,鹰,The eagle flies.
ear,耳朵；穗,Listen with your ear.
early,早的；提早,Get up early.
earn,赚得；获得,Earn money.
earnest,认真的；热切的,In earnest.
earth,地球；泥土,On earth.
ease,容易；舒适,With ease.
easily,容易地；无疑地,It's easily done.
east,东；东方,The sun rises in the east.
eastern,东方的；东部的,Eastern Europe.
easy,容易的；舒适的,Take it easy.
eat,吃；吃饭,Eat your meal.
echo,回声；回响,The echo sounds.
economic,经济的；经济学的,Economic growth.
economy,经济；节约,The national economy.
edge,边缘；刀锋,On the edge.
edit,编辑；校订,Edit the text.
edition,版；版本,The first edition.
editor,编辑；编者,The chief editor.
educate,教育；培养,Educate the children.
education,教育；培养,Get an education.
effect,效果；影响,The effect is good.
effective,有效的；实际的,An effective method.
efficiency,效率；功效,Improve efficiency.
efficient,效率高的；有能力的,An efficient worker.
effort,努力；成就,Make an effort.
egg,蛋；鸡蛋,Eat an egg.
eight,八；八个,Eight people.
either,两者之一；也,Either is fine.
elder,年长的；长辈,Respect your elders.
elect,选举；选择,Elect a leader.
election,选举；当选,Win the election.
electric,电的；电动的,Electric power.
electrical,电的；与电有关的,Electrical engineering.
electricity,电；电流,Save electricity.
electron,电子,The electron orbits.
electronic,电子的；电子学的,Electronic devices.
elegant,优雅的；精致的,An elegant lady.
element,元素；要素,The elements of nature.
elephant,象；大象,The elephant is large.
elevate,提升；举起,Elevate your status.
eleven,十一；十一个,Eleven o'clock.
eliminate,消除；排除,Eliminate the error.
else,其他的；别的,Someone else.
elsewhere,在别处；到别处,Go elsewhere.
email,电子邮件,Send an email.
embarrass,使尴尬；使难堪,Don't embarrass me.
embrace,拥抱；包含,Embrace the future.
emerge,出现；浮现,The sun emerged.
emergency,紧急情况；突发事件,In case of emergency.
emotion,情感；情绪,Strong emotion.
emperor,皇帝；君主,The Roman emperor.
emphasize,强调；着重,Emphasize the point.
empire,帝国；大企业,The British Empire.
employ,雇佣；使用,Employ new staff.
employee,雇员；员工,The company employee.
employer,雇主；老板,The employer pays.
employment,就业；雇佣,Find employment.
empty,空的；倒空,An empty box.
enable,使能够；使可能,Enable the feature.
enclose,围住；附上,Enclose the document.
encounter,遭遇；遇到,An unexpected encounter.
encourage,鼓励；怂恿,Encourage the team.
end,结束；末端,The end of the story.
ending,结局；结尾,A happy ending.
endless,无尽的；无边的,Endless love.
enemy,敌人；敌军,Fight the enemy.
energy,能量；精力,Full of energy.
engage,从事；订婚,Engage in business.
engine,发动机；引擎,The car engine.
engineer,工程师；设计,The civil engineer.
engineering,工程；工程学,Study engineering.
enhance,增强；提高,Enhance the quality.
enjoy,享受；喜爱,Enjoy life.
enlarge,扩大；放大,Enlarge the photo.
enough,足够的；充分地,Enough time.
enquire,询问；打听,Enquire about the price.
ensure,确保；保证,Ensure safety.
enter,进入；参加,Enter the room.
entertain,娱乐；招待,Entertain the guests.
entertainment,娱乐；消遣,The entertainment industry.
enthusiasm,热情；热忱,Full of enthusiasm.
entire,全部的；完整的,The entire world.
entrance,入口；进入,The main entrance.
entry,进入；入口,Make an entry.
envelope,信封；包裹,Seal the envelope.
environment,环境；外界,Protect the environment.
envy,羡慕；嫉妒,Don't envy others.
equal,平等的；等于,All men are equal.
equality,平等；相等,Gender equality.
equip,装备；配备,Equip the lab.
equipment,设备；装备,Lab equipment.
equivalent,等价的；相等的,An equivalent amount.
era,时代；年代,A new era.
error,错误；差错,Human error.
escape,逃跑；逃避,Escape from prison.
especially,特别；尤其,I like fruits, especially apples.
essay,散文；短文,Write an essay.
establish,建立；确立,Establish a company.
estate,财产；地产,Real estate.
estimate,估计；估价,Estimate the cost.
evaluate,评估；评价,Evaluate the performance.
even,甚至；平坦的,Even better.
evening,傍晚；晚上,Good evening.
event,事件；活动,A major event.
eventually,最终；终于,Eventually succeeded.
ever,曾经；永远,Have you ever been?
every,每个；一切的,Every day.
everybody,每个人,Everybody knows.
everyone,每个人,Everyone is here.
everything,一切；每件事,Everything is fine.
everywhere,到处；无论何处,Look everywhere.
evidence,证据；证明,Provide evidence.
evil,邪恶的；罪恶的,Fight evil.
exact,确切的；精确的,The exact time.
exactly,确切地；正好,Exactly right.
examine,检查；考试,Examine the patient.
example,例子；榜样,For example.
exceed,超过；超越,Exceed expectations.
excellent,优秀的；杰出的,Excellent work.
except,除了；把...除外,Everyone except me.
exception,例外；异议,Without exception.
excess,过量；过度,In excess.
exchange,交换；兑换,Exchange gifts.
excite,使兴奋；使激动,The news excited us.
excited,兴奋的；激动的,I'm so excited.
excitement,兴奋；刺激,Full of excitement.
exciting,令人兴奋的；使人激动的,An exciting game.
excuse,借口；原谅,Excuse me.
execute,执行；处决,Execute the plan.
executive,行政的；主管,The executive team.
exercise,锻炼；练习,Do exercise.
exhibit,展览；陈列,Exhibit the paintings.
exhibition,展览；展览会,Visit the exhibition.
exist,存在；生存,Do ghosts exist?
existence,存在；生存,In existence.
exit,出口；退出,Find the exit.
expand,扩大；扩展,Expand the business.
expect,期待；预期,Expect the best.
expectation,期待；预期,Beyond expectation.
expense,费用；开支,At the expense of.
expensive,昂贵的,It's too expensive.
experience,经验；经历,Learn from experience.
experiment,实验；试验,Conduct an experiment.
expert,专家；熟练的,An expert in the field.
explain,解释；说明,Explain the reason.
explanation,解释；说明,Give an explanation.
explode,爆炸；爆发,The bomb exploded.
explore,探索；探测,Explore the world.
export,出口；输出,Export goods.
expose,暴露；揭露,Expose the truth.
express,表达；快递,Express your feelings.
expression,表达；表情,Facial expression.
extend,延伸；扩展,Extend the deadline.
extension,延伸；扩展,File extension.
extensive,广泛的；大量的,Extensive research.
extent,程度；范围,To some extent.
external,外部的；外面的,External factors.
extra,额外的；特别的,Extra time.
extraordinary,非凡的；特别的,An extraordinary talent.
extreme,极端的；极度的,Extreme weather.
eye,眼睛；视线,Close your eyes.
eyebrow,眉毛,Raise an eyebrow.
face,脸；面对,Face the truth.
facility,设施；设备,Sports facilities.
fact,事实；真相,In fact.
factor,因素；要素,An important factor.
factory,工厂；制造厂,Work in a factory.
fail,失败；不及格,Don't fail.
failure,失败；故障,Failure is the mother of success.
faint,昏倒；微弱的,She fainted.
fair,公平的；集市,Fair play.
faith,信仰；信任,Have faith.
fall,落下；秋天,Leaves fall.
false,错误的；假的,False information.
fame,名声；名望,Win fame.
familiar,熟悉的；常见的,Familiar with.
family,家庭；家人,Love your family.
famous,著名的；出名的,A famous singer.
fan,风扇；迷，Turn on the fan.
fancy,花哨的；想象,Fancy dress.
fantastic,极好的；奇异的,Fantastic!
far,远的；遥远,How far?
farm,农场；耕作,Work on a farm.
farmer,农民；农场主,The farmer works hard.
fashion,时尚；款式,Follow fashion.
fast,快的；迅速的,Run fast.
fat,脂肪；肥胖的,Too much fat.
fate,命运；天命,Accept your fate.
father,父亲；爸爸,My father.
fault,过错；缺点,It's not your fault.
favor,恩惠；偏爱,Do me a favor.
favorite,特别喜爱的,My favorite color.
fear,害怕；恐惧,Don't fear.
feast,宴会；节日,A feast for the eyes.
feather,羽毛；翎毛,A bird's feather.
feature,特征；特色,A key feature.
February,二月,In February.
federal,联邦的；同盟的,The federal government.
fee,费用；酬金,Pay the fee.
feed,喂养；饲养,Feed the baby.
feel,感觉；触摸,How do you feel?
feeling,感觉；情感,My feelings.
fellow,同伴；家伙,My dear fellow.
female,女性的；雌性,Female students.
fence,栅栏；围墙,Jump over the fence.
festival,节日；庆祝,The Spring Festival.
fetch,取来；接来,Fetch the ball.
fever,发烧；狂热,Have a fever.
few,很少的；少数,A few friends.
fiber,纤维；光纤,Dietary fiber.
fiction,小说；虚构,Science fiction.
field,田野；领域,In the field.
fierce,凶猛的；激烈的,A fierce battle.
fight,打架；战斗,Fight for freedom.
figure,数字；人物,Figure out.
file,文件；档案,Save the file.
fill,装满；填充,Fill the glass.
film,电影；胶片,Watch a film.
filter,过滤器；筛选,Filter the water.
final,最后的；决赛,The final exam.
finally,最终；最后,Finally finished.
finance,财政；金融,Study finance.
financial,财政的；金融的,Financial crisis.
find,发现；找到,Find the key.
finding,发现；调查结果,Research findings.
fine,好的；罚款,I'm fine.
finger,手指；指针,Point your finger.
finish,完成；结束,Finish the work.
fire,火；火灾,Play with fire.
firm,坚固的；公司,A firm belief.
first,第一；首先,First place.
fish,鱼；钓鱼,Catch a fish.
fist,拳头；握拳,Make a fist.
fit,适合；健康的,Fit the size.
five,五；五个,Five fingers.
fix,修理；固定,Fix the car.
flag,旗帜；标记,The national flag.
flame,火焰；光辉,The flame burns.
flash,闪光；闪烁,A flash of light.
flat,平坦的；公寓,A flat surface.
flavor,味道；风味,What flavor?
flee,逃跑；消散,Flee from danger.
flesh,肉；肉体,Flesh and blood.
flexible,灵活的；易弯曲的,A flexible schedule.
flight,飞行；航班,Book a flight.
float,漂浮；浮动,The boat floats.
flood,洪水；淹没,The flood came.
floor,地板；楼层,On the floor.
flour,面粉；粉末,Bake with flour.
flow,流动；流量,The river flows.
flower,花；开花,A beautiful flower.
flu,流感；流行性感冒,Have the flu.
fluent,流利的；流畅的,Fluent English.
fluid,流体；流动的,Fluid dynamics.
fly,飞；飞行,Birds fly.
focus,焦点；集中,Focus on the task.
fog,雾；烟雾,The fog is thick.
fold,折叠；合拢,Fold the paper.
folk,人们；民间,Folk music.
follow,跟随；遵循,Follow me.
following,下列的；接着,The following day.
fond,喜爱的；深情的,Fond of music.
food,食物；食品,Delicious food.
fool,傻子；愚弄,Don't be a fool.
foot,脚；英尺,On foot.
football,足球,Play football.
for,为了；因为,This is for you.
forbid,禁止；不准,Forbid smoking.
force,力量；武力,Use force.
forecast,预测；预报,Weather forecast.
foreign,外国的；外交的,Foreign countries.
forest,森林；林地,A dense forest.
forever,永远；始终,Love you forever.
forget,忘记；忽略,Don't forget.
forgive,原谅；饶恕,Forgive me.
fork,叉；餐叉,Use a fork.
form,形式；表格,Fill in the form.
formal,正式的；形式的,Formal dress.
former,从前的；前者的,The former president.
formula,公式；配方,Mathematical formula.
fortnight,两星期；十四天,In a fortnight.
fortunate,幸运的；侥幸的,Fortunate to be alive.
fortune,财富；运气,Make a fortune.
forty,四十；四十个,Forty years.
forward,向前；前进,Move forward.
foster,培养；促进,Foster creativity.
found,建立；创立,Found a company.
foundation,基础；基金会,Lay the foundation.
fountain,喷泉；源泉,The water fountain.
four,四；四个,Four seasons.
fox,狐狸；狡猾的人,The fox is clever.
frame,框架；结构,The picture frame.
free,自由的；免费的,Free speech.
freedom,自由；自主,Freedom of speech.
freeze,冻结；凝固,Water freezes.
freight,货物；货运,Ship the freight.
French,法国的；法语,Speak French.
frequency,频率；频繁,High frequency.
frequent,频繁的；经常的,Frequent visits.
fresh,新鲜的；清新的,Fresh air.
friction,摩擦；摩擦力,Reduce friction.
fridge,冰箱,Put it in the fridge.
friend,朋友；友人,My best friend.
friendly,友好的；友善的,A friendly smile.
friendship,友谊；友情,True friendship.
frighten,使害怕；使惊恐,Don't frighten me.
frog,青蛙；蛙,The frog jumps.
from,从；来自,Where are you from?
front,前面；前线,In front of.
frost,霜；霜冻,The frost is heavy.
fruit,水果；果实,Eat fruit.
fry,油炸；油煎,Fry the eggs.
fuel,燃料；燃烧,Add fuel.
fulfill,履行；实现,Fulfill your dream.
full,满的；完全的,Full house.
fun,有趣；乐趣,Have fun.
function,功能；函数,The function works.
fund,基金；资金,Raise funds.
funeral,葬礼；丧事,Attend the funeral.
funny,有趣的；好笑的,A funny story.
fur,毛皮；毛,Fur coat.
furniture,家具,Furniture store.
further,更远的；进一步的,Further information.
future,未来；将来,In the future.
gain,获得；增加,Gain experience.
gallery,画廊；美术馆,Visit the gallery.
game,游戏；比赛,Play a game.
gang,一帮；一群,A gang of thieves.
gap,缺口；差距,Fill the gap.
garage,车库；修车厂,The car is in the garage.
garbage,垃圾；废物,Take out the garbage.
garden,花园；菜园,Work in the garden.
gas,气体；煤气,Turn on the gas.
gate,大门；入口,At the gate.
gather,聚集；收集,Gather information.
gay,快乐的；同性恋的,Gay and happy.
gaze,凝视；注视,Gaze at the stars.
general,一般的；将军,In general.
generate,产生；发生,Generate electricity.
generous,慷慨的；大方的,A generous person.
gentle,温柔的；温和的,A gentle touch.
gentleman,绅士；先生,A true gentleman.
genuine,真实的；真诚的,Genuine leather.
geography,地理；地理学,Study geography.
gesture,姿势；手势,Make a gesture.
get,得到；变得,Get ready.
ghost,鬼；幽灵,Believe in ghosts?
giant,巨大的；巨人,A giant tree.
gift,礼物；天赋,Give a gift.
girl,女孩；姑娘,A lovely girl.
give,给；给予,Give me a hand.
glad,高兴的；乐意的,I'm glad to see you.
glance,一瞥；扫视,Take a glance.
glass,玻璃；杯子,Drink from a glass.
glimpse,一瞥；一看,Catch a glimpse.
glory,光荣；荣誉,Win glory.
glove,手套,Put on gloves.
glow,发光；发热,The sun glows.
glue,胶水；粘合,Glue the pieces.
go,去；走,Let's go.
goal,目标；球门,Set a goal.
goat,山羊,The goat eats grass.
god,神；上帝,Believe in God.
gold,金；金色的,A gold medal.
golden,金色的；珍贵的,A golden opportunity.
golf,高尔夫球,Play golf.
good,好的；善良的,Good morning.
goodbye,再见,Say goodbye.
goods,货物；商品,Sell goods.
goose,鹅；鹅肉,The goose flies.
govern,统治；管理,Govern the country.
government,政府；内阁,The government.
gown,礼服；长袍,Evening gown.
grab,抓取；攫取,Grab the chance.
grace,优雅；恩惠,With good grace.
grade,等级；年级,Get a good grade.
gradual,逐渐的；渐进的,Gradual change.
graduate,毕业；毕业生,Graduate from college.
grain,谷物；颗粒,A grain of rice.
gram,克,100 grams.
grammar,语法；语法书,English grammar.
grand,盛大的；豪华的,A grand hotel.
grandfather,祖父；外祖父,My grandfather.
grandmother,祖母；外祖母,My grandmother.
grant,授予；同意,Grant permission.
grape,葡萄；葡萄树,Eat grapes.
graph,图表；曲线图,Draw a graph.
grasp,抓住；理解,Grasp the opportunity.
grass,草；草地,Walk on the grass.
grateful,感激的；感谢的,Be grateful.
grave,坟墓；严重的,A grave mistake.
gravity,重力；严肃,The force of gravity.
gray,灰色的；灰白,Gray hair.
great,伟大的；很好的,Great job!
greedy,贪婪的；贪吃的,A greedy person.
green,绿色的；环保的,Green vegetables.
greet,问候；迎接,Greet the guests.
greeting,问候；致意,Send greetings.
grey,灰色的,Gray and grey.
grin,露齿笑；咧嘴笑,Grin from ear to ear.
grind,磨碎；摩擦,Grind the coffee.
grip,紧握；控制,Get a grip.
grocery,食品店；杂货,Go to the grocery.
gross,总的；毛的,Gross income.
ground,地面；理由,On the ground.
group,组；群,A group of people.
grow,生长；种植,Grow up.
growth,生长；增长,Economic growth.
guarantee,保证；担保,Guarantee quality.
guard,守卫；警卫,Stand guard.
guess,猜；猜测,Guess what?
guest,客人；宾客,Welcome the guest.
guide,引导；导游,Follow the guide.
guilty,有罪的；内疚的,Feel guilty.
guitar,吉他；六弦琴,Play the guitar.
gun,枪；炮,Hold a gun.
guy,家伙；男人,That guy.
gym,体育馆；健身房,Go to the gym.
habit,习惯；习性,Good habit.
hair,头发；毛发,Cut your hair.
half,一半；半个,Half an hour.
hall,大厅；礼堂,The school hall.
hammer,锤子；锤击,Use a hammer.
hand,手；帮助,Give me a hand.
handle,处理；把手,Handle with care.
handsome,英俊的；大方的,A handsome man.
hang,悬挂；吊死,Hang the picture.
happen,发生；碰巧,What happened?
happy,快乐的；幸福的,Be happy.
harbor,港口；怀抱,The ship enters the harbor.
hard,硬的；困难的,Work hard.
hardly,几乎不；简直不,Hardly anyone.
hardship,艰难；困苦,Face hardship.
hardware,硬件；五金,Computer hardware.
harm,伤害；损害,Do no harm.
harvest,收获；收割,Harvest time.
haste,匆忙；急速,Make haste.
hat,帽子；礼帽,Wear a hat.
hate,恨；厌恶,I hate lying.
have,有；吃,I have a dream.
he,他,He is my friend.
head,头；首领,Use your head.
headache,头痛；令人头痛的事,Have a headache.
heal,治愈；愈合,Time heals.
health,健康；卫生,Good health.
healthy,健康的；有益健康的,Stay healthy.
heap,堆；大量,A heap of books.
hear,听见；听说,Can you hear me?
hearing,听力；审讯,The hearing is scheduled.
heart,心；心脏,With all my heart.
heat,热；加热,The heat is intense.
heaven,天堂；天空,Go to heaven.
heavy,重的；沉重的,A heavy box.
heel,脚后跟；鞋跟,On your heels.
height,高度；身高,What's your height?
helicopter,直升机,The helicopter flies.
hello,你好；喂,Say hello.
help,帮助；援助,Help me.
helpful,有帮助的；有益的,Be helpful.
hen,母鸡；雌禽,The hen lays eggs.
her,她的；她,This is her book.
here,这里；在这里,Come here.
hero,英雄；男主角,A national hero.
hers,她的,This book is hers.
herself,她自己,She did it herself.
hesitate,犹豫；踌躇,Don't hesitate.
hi,你好；嗨,Say hi.
hide,隐藏；隐瞒,Hide and seek.
high,高的；高度,A high building.
highway,公路；大路,Drive on the highway.
hill,小山；丘陵,Climb the hill.
him,他（宾格）,Give it to him.
himself,他自己,He did it himself.
hint,暗示；提示,Give me a hint.
hip,臀部；髋部,The hip joint.
hire,雇佣；租用,Hire a car.
his,他的,This is his car.
history,历史；历史学,Study history.
hit,打；击中,Hit the target.
hobby,爱好；嗜好,What's your hobby?
hold,握住；举行,Hold my hand.
hole,洞；孔,Dig a hole.
holiday,假日；节日,Happy holiday.
hollow,空的；中空的,A hollow tree.
holy,神圣的；圣洁的,Holy Bible.
home,家；回家,Go home.
homework,家庭作业,Do your homework.
honest,诚实的；正直的,Be honest.
honey,蜂蜜；亲爱的,Add honey.
honor,荣誉；尊敬,Win honor.
hope,希望；期望,Hope for the best.
hopeful,有希望的；有前途的,Be hopeful.
horizon,地平线；视野,On the horizon.
horizontal,水平的；地平线的,Horizontal line.
horn,角；喇叭,The car horn.
horror,恐怖；战栗,Horror movie.
horse,马；骑在马上,Ride a horse.
hospital,医院；诊所,Go to hospital.
host,主人；主持,Be a good host.
hot,热的；辣的,It's hot today.
hotel,旅馆；饭店,Book a hotel.
hour,小时；钟点,One hour.
house,房子；住宅,My house.
household,家庭；户,The whole household.
housewife,家庭主妇,The housewife cooks.
housework,家务劳动,Do housework.
how,如何；怎样,How are you?
however,然而；无论如何,However, it's difficult.
huge,巨大的；庞大的,A huge building.
human,人的；人类,Human rights.
humor,幽默；诙谐,Sense of humor.
hundred,百；一百个,A hundred years.
hunger,饥饿；渴望,Suffer from hunger.
hungry,饥饿的；渴望的,I'm hungry.
hunt,打猎；搜寻,Hunt for jobs.
hurry,匆忙；赶紧,In a hurry.
hurt,伤害；疼痛,Don't hurt me.
husband,丈夫；管家,My husband.
hut,小屋；棚屋,Live in a hut.
ice,冰；冰块,Melt the ice.
idea,想法；主意,Good idea!
ideal,理想的；完美的,Ideal job.
identify,认出；识别,Identify the problem.
identity,身份；特性,Identity card.
idiom,习语；成语,Learn idioms.
idle,空闲的；懒惰的,Idle hands.
if,如果；是否,If you come.
ignore,忽视；不理,Ignore the noise.
ill,生病的；坏的,Feel ill.
illegal,非法的；违法的,Illegal activity.
illness,疾病；生病,Recover from illness.
illustrate,说明；阐明,Illustrate the point.
image,形象；图像,Mental image.
imagine,想象；设想,Imagine that.
immediate,立即的；直接的,Immediate response.
immigrant,移民；侨民,An immigrant.
impact,影响；冲击,Have an impact.
impatient,不耐烦的；急躁的,Be impatient.
implement,实施；工具,Implement the plan.
implication,含义；暗示,The implication is clear.
imply,暗示；意味,What do you imply?
import,进口；输入,Import goods.
importance,重要性；重大,Of great importance.
important,重要的；重大的,An important meeting.
impose,强加；征税,Don't impose.
impossible,不可能的；难以忍受的,It's impossible.
impress,给...留下印象,Impress the audience.
impression,印象；感想,First impression.
improve,改进；改善,Improve yourself.
impulse,冲动；脉冲,On impulse.
in,在...里面；进入,In the room.
inch,英寸；少量,Every inch.
incident,事件；事变,An unfortunate incident.
incline,倾斜；倾向,Incline to agree.
include,包括；包含,Include me.
income,收入；所得,Monthly income.
increase,增加；增长,Increase the price.
indeed,的确；确实,Thank you indeed.
independent,独立的；自主的,Be independent.
index,索引；指数,Look up the index.
indicate,指示；表明,Indicate the direction.
indication,指示；表示,An indication of.
individual,个人的；个体的,Individual rights.
industry,工业；产业,Heavy industry.
inevitable,不可避免的；必然的,It's inevitable.
infant,婴儿；幼儿,Care for the infant.
infect,传染；感染,The wound infected.
infer,推断；推论,Infer from the facts.
infinite,无限的；无穷的,Infinite space.
influence,影响；势力,Have influence.
inform,通知；报告,Inform me.
ingredient,成分；原料,The ingredients.
initial,最初的；词首的,Initial stage.
injure,伤害；损害,Injure the leg.
injury,伤害；受伤处,Suffer an injury.
ink,墨水；油墨,Sign with ink.
inn,小旅馆；客栈,Stay at an inn.
inner,内部的；内心的,Inner peace.
innocent,无辜的；清白的,Innocent child.
input,输入；投入,Data input.
inquire,询问；打听,Inquire about.
insect,昆虫；虫子,The insect bites.
insert,插入；嵌入,Insert the key.
inside,在...里面；内部,Go inside.
insist,坚持；强调,Insist on it.
inspect,检查；视察,Inspect the work.
inspire,鼓舞；给...灵感,Inspire others.
install,安装；设置,Install the software.
instance,例子；情况,For instance.
instant,立即的；速食的,Instant coffee.
instead,代替；反而,Instead of.
instinct,本能；直觉,By instinct.
institute,学院；协会,The institute.
institution,机构；制度,Educational institution.
instruct,指导；指示,Instruct the class.
instruction,指示；用法说明,Follow the instructions.
instrument,仪器；乐器,Musical instrument.
insult,侮辱；辱骂,Don't insult.
insurance,保险；保险业,Buy insurance.
insure,保险；确保,Insure the car.
intellectual,智力的；知识分子,Intellectual property.
intelligence,智力；聪明,High intelligence.
intend,打算；想要,I intend to go.
intense,强烈的；紧张的,Intense competition.
intention,意图；目的,My intention.
interest,兴趣；利息,Show interest.
interesting,有趣的；引起兴趣的,An interesting book.
interfere,干涉；干扰,Don't interfere.
interior,内部的；内地,The interior design.
intermediate,中级的；中间的,Intermediate level.
internal,内部的；国内的,Internal affairs.
international,国际的；世界性的,International trade.
internet,互联网；网络,Surf the internet.
interpret,解释；口译,Interpret the dream.
interrupt,打断；中断,Don't interrupt.
interval,间隔；间距,At intervals.
interview,面试；采访,Have an interview.
intimate,亲密的；私人的,Intimate friend.
into,进入；到...里,Go into the room.
introduce,介绍；引进,Introduce yourself.
introduction,介绍；引言,Write an introduction.
invade,入侵；侵略,Invade the country.
invent,发明；创造,Invent a machine.
invention,发明；创造,A great invention.
invite,邀请；招待,Invite friends.
involve,包含；牵涉,Involve everyone.
iron,铁；熨斗,Iron the clothes.
irrigate,灌溉；冲洗,Irrigate the field.
island,岛；岛屿,Live on an island.
isolate,隔离；孤立,Isolate the virus.
issue,问题；发行,An important issue.
it,它,It is raining.
item,项目；条款,An item on the list.
its,它的,The dog wagged its tail.
itself,它自己,The cat itself.
jacket,夹克；短上衣,Wear a jacket.
jam,果酱；堵塞,Strawberry jam.
January,一月,In January.
jar,罐子；广口瓶,A jar of honey.
jaw,颌；颚,The lower jaw.
jazz,爵士乐；爵士舞,Listen to jazz.
jealous,嫉妒的；猜疑的,Jealous of.
jeans,牛仔裤,Wear jeans.
jet,喷气式飞机；喷射,Travel by jet.
jewel,宝石；珠宝,A precious jewel.
job,工作；职位,Find a job.
join,加入；连接,Join the club.
joint,关节；共同的,A joint effort.
joke,笑话；开玩笑,Tell a joke.
journal,期刊；日志,Keep a journal.
journey,旅行；旅程,A long journey.
joy,欢乐；乐趣,Full of joy.
judge,法官；判断,Judge the case.
judgment,判断；判决,Use your judgment.
juice,果汁；液,Drink juice.
July,七月,In July.
jump,跳跃；跳动,Jump high.
June,六月,In June.
jungle,丛林；密林,The jungle is dense.
junior,年少的；地位较低的,Junior high school.
just,公正的；刚刚,Just do it.
justice,正义；公正,Do justice.
justify,证明...正当,Justify your action.
keep,保持；继续,Keep trying.
kettle,水壶；茶壶,Boil the kettle.
key,钥匙；关键,The key to success.
keyboard,键盘；琴键,Type on the keyboard.
kick,踢；踢球,Kick the ball.
kid,小孩；开玩笑,Just kidding.
kill,杀死；扼杀,Don't kill.
kilo,千克；公里,A kilo of rice.
kilometer,公里；千米,Five kilometers.
kind,种类；善良的,What kind?
king,国王；君主,The king rules.
kingdom,王国；领域,The kingdom.
kiss,吻；接吻,Kiss me.
kitchen,厨房；厨具,In the kitchen.
knee,膝盖；膝,Bend your knee.
kneel,跪；跪下,Kneel down.
knife,刀；餐刀,Use a knife.
knock,敲；敲打,Knock on the door.
knot,结；节,Tie a knot.
know,知道；认识,I know.
knowledge,知识；学问,Knowledge is power.
lab,实验室；化验室,Work in the lab.
label,标签；标记,Put a label.
labor,劳动；劳工,Hard labor.
lack,缺乏；缺少,Lack of money.
ladder,梯子；阶梯,Climb the ladder.
lady,女士；夫人,A nice lady.
lake,湖；湖泊,Swim in the lake.
lamb,羔羊；小羊,The lamb is cute.
lamp,灯；台灯,Turn on the lamp.
land,陆地；登陆,The land is fertile.
language,语言；语文,Learn a language.
lantern,灯笼；提灯,Light the lantern.
lap,大腿；一圈,Sit on my lap.
large,大的；巨大的,A large house.
laser,激光；激光器,Laser technology.
last,最后的；持续,Last week.
late,晚的；迟的,Don't be late.
lately,最近；近来,Have you seen him lately?
later,后来；以后,See you later.
latest,最近的；最新的,The latest news.
Latin,拉丁的；拉丁语,Study Latin.
latter,后者的；后面的,The latter option.
laugh,笑；大笑,Laugh out loud.
laughter,笑；笑声,Laughter is the best medicine.
launch,发射；发起,Launch a rocket.
law,法律；规律,Obey the law.
lawyer,律师；法律工作者,Hire a lawyer.
lay,放置；产卵,Lay the book down.
layer,层；层次,A layer of dust.
lazy,懒惰的；懒散的,Don't be lazy.
lead,领导；导致,Lead the way.
leader,领导者；领袖,Follow the leader.
leadership,领导；领导能力,Show leadership.
leaf,叶子；叶片,The leaf falls.
league,联盟；社团,The football league.
leak,漏；泄漏,The pipe leaks.
lean,倾斜；倚靠,Lean on me.
leap,跳跃；飞跃,Take a leap.
learn,学习；学会,Learn English.
least,最少的；至少,At least.
leather,皮革；皮革制品,Leather shoes.
leave,离开；留下,Leave now.
lecture,讲座；讲课,Attend a lecture.
left,左边的；离开,Turn left.
leg,腿；支柱,My leg hurts.
legal,法律的；合法的,Legal advice.
lemon,柠檬；柠檬树,Lemon juice.
lend,借给；贷出,Lend me money.
length,长度；长,What's the length?
less,较少的；更小,Less is more.
lesson,课；教训,Learn a lesson.
let,让；允许,Let me go.
letter,信；字母,Write a letter.
level,水平；级别,On the same level.
liberal,自由的；开明的,Liberal arts.
liberty,自由；自由权,Personal liberty.
